ADDRESS;NAME;ORIGINAL_LAT;ORIGINAL_LNG
г.Нижневартовск, ул.Интернациональная 73;Нижневартовск ТЦ Подсолнух;60.943925;76.634675
г.Невинномысск, ул.Гагарина 51;Невинномысск Гагарина;44.628299;41.947003
г. Ростов-на-Дону, ул. Малиновского 25;Ростов ТЦ Золотой Вавилон;47.231398;39.610404
г. Тюмень, ул. Пермякова-Логунова 50Б;Тюмень ТЦ Солнечный;57.118627346544;65.577628144844
г.Сочи, Лазаревский р-н, п.Лазаревское, ул.Калараш 111;Лазаревское ТЦ Павловский;43.910148;39.336678
г.Каменск-Уральский, ул.Суворова 24;Каменск-Уральский ТЦ Мегамарт;56.390798;61.929398
Республика Башкортостан, г. Стерлитамак, ул. Худайбердина 120;Стерлитамак ТЦ Фабри;53.627898;55.940599
г. Владимир, ул. Тракторная 45;Владимир ТЦ Мегаторг;56.149722;40.385982
г. Курган, ул. Пушкина 25;Курган ТЦ Пушкинский;55.432163;65.319073
г. Краснодар, ул. им. Дзержинского 100;Краснодар ТЦ Красная площадь;45.101865;38.983595
г. Тюмень, ул. Республики 42/3;Тюмень Республики Первомайская;57.155138;65.535172
г. Москва, ул. Поляны 8;Москва ТЦ Вива;55.565407;37.556146
г. Омск, бульвар Архитекторов 35;Омск ТЦ Мега;54.971936;73.285675
г. Прохладный, ул. Свободы 139а;Прохладный Свободы;43.759899;43.999797
г. Тверь, ул. Коминтерна 20/1;Тверь ТЦ Карусель;56.835638;35.895628
г. Улан-Удэ, ул. Гагарина 25;Улан-Удэ ТЦ Сагаан Морин;51.837502;107.593997
г. Москва, Новоясеневский проспект 1;Москва ТЦ Спектр;55.619467;37.50928
г. Чита, ул. Шилова 100;Чита ТЦ Макси;52.06556;113.497285
г. Чебоксары, ул. Калинина 105а;Чебоксары ТЦ Мегамолл;56.1376;47.277965
г. Волгоград, пл. Дзержинского 1Б;Волгоград ТЦ Диамант;48.799653;44.604812
г. Самара, Кировский р-н., Проспект Кирова 147;Самара ТЦ Вива Лэнд;53.220573;50.262941
г. Уфа, Октябрьский район, пр-т Октября 65;Уфа Октября;54.760158;56.009069
г.Балаково. ул. Волжская 100;Балаково ТЦ Оранж;52.010697;47.797299
г. Нижний Тагил, ул. Ленина 22;Нижний Тагил ТЦ Пассаж;57.908030450172;59.959432139194
г. Челябинск, ул. Молдавская 16;Челябинск ТЦ Фокус;55.190668;61.302859
г. Белгород, мкр. Пригородный, ул. Щорса 64;Белгород ТЦ Сити Молл;50.552401;36.568996
г. Краснодар, Прикубанский округ, ул. Им. 40-летия Победы 146/2;Краснодар 40 лет Победы;45.055198141052564;39.0212501885285
г. Омск, ул. Марченко 3;Омск Марченко;54.939455;73.382109
г. Тамбов, ул. Советская 194/2;Тамбов ТЦ Реал;52.753797;41.444602
г. Новосибирск, пл. им. Карла Маркса 3;Новосибирск ТЦ Версаль;54.983954;82.89171
г. Астрахань, ул. Минусинская 8;Астрахань ТЦ Три Кота;46.358866;48.069749
г. Новороссийск, Анапское шоссе 2;Новороссийск ТЦ Красная Площадь;44.725269;37.762902
